City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,50.13,92,6,4.97,AU,1699284434
1,ushuaia,-54.8,-68.3,55.06,44,40,13.8,AR,1699284349
2,shahr-e babak,30.1165,55.1186,58.87,40,5,3.58,IR,1699284435
3,stanley,54.868,-1.6985,49.19,85,40,9.22,GB,1699284435
4,ilulissat,69.2167,-51.1,26.62,46,75,18.41,GL,1699284435
5,hithadhoo,-0.6,73.0833,81.27,79,100,10.96,MV,1699284435
6,farah,32.5,62.5,61.97,58,84,1.54,AF,1699284435
7,bel ombre,-4.6167,55.4167,80.44,83,20,3.44,SC,1699284436
8,daru,-9.0763,143.2092,78.08,80,97,12.77,PG,1699284436
9,valparaiso,-33.0393,-71.6273,62.47,69,100,10.36,CL,1699284436
10,saudarkrokur,65.7461,-19.6394,34.99,78,100,3.89,IS,1699284437
11,petropavlovsk-kamchatsky,53.0452,158.6483,23.45,72,40,10.0,RU,1699284437
12,georgetown,5.4112,100.3354,82.33,86,20,4.61,MY,1699284379
13,richards bay,-28.783,32.0377,78.01,73,66,17.4,ZA,1699284437
14,college,64.8569,-147.8028,19.35,88,100,0.0,US,1699284438
15,grytviken,-54.2811,-36.5092,37.71,89,40,1.12,GS,1699284438
16,ambon,-3.6954,128.1814,78.94,89,40,8.05,ID,1699284438
17,katsuren-haebaru,26.3369,127.8719,77.77,88,75,12.66,JP,1699284438
18,matoury,4.8483,-52.3317,91.36,62,20,14.97,GF,1699284439
19,puerto natales,-51.7236,-72.4875,59.45,36,0,21.85,CL,1699284439
20,port-aux-francais,-49.35,70.2167,36.01,75,37,36.39,TF,1699284439
21,st. john's,47.5649,-52.7093,37.98,59,75,20.71,CA,1699284268
22,adamstown,-25.066,-130.1015,73.09,79,98,17.07,PN,1699284440
23,lihue,21.9789,-159.3672,76.59,87,100,14.97,US,1699284440
24,la passe,45.5549,-0.8967,54.99,73,13,23.64,FR,1699284441
25,isafjordur,66.0755,-23.124,33.84,69,75,16.11,IS,1699284441
26,afaahiti,-17.75,-149.2833,73.27,85,49,11.01,PF,1699284441
27,bilibino,68.0546,166.4372,-11.02,98,29,5.82,RU,1699284441
28,manggar,-2.8833,108.2667,82.51,74,97,3.94,ID,1699284442
29,wailua homesteads,22.0669,-159.378,75.99,90,100,14.97,US,1699284442
30,sitka,57.0531,-135.33,46.29,81,100,12.66,US,1699284442
31,cockburn town,21.4612,-71.1419,81.86,70,100,8.77,TC,1699284442
32,mildura,-34.2,142.15,71.26,23,100,9.22,AU,1699284442
33,ust-nera,64.5667,143.2,-16.24,100,84,3.24,RU,1699284443
34,chingirlau,51.095,54.0814,48.04,64,99,11.43,KZ,1699284443
35,kalmunai,7.4167,81.8167,80.78,81,84,4.32,LK,1699284443
36,nemuro,43.3236,145.575,59.07,93,100,31.43,JP,1699284145
37,invercargill,-46.4,168.35,42.03,89,73,2.91,NZ,1699284444
38,waitangi,-43.9535,-176.5597,52.83,96,100,7.0,NZ,1699284444
39,patnanungan,14.7833,122.1833,81.46,83,74,17.47,PH,1699284444
40,hamilton,39.1834,-84.5333,59.05,56,75,9.22,US,1699284186
41,utrik,11.2278,169.8474,82.18,71,100,20.85,MH,1699284445
42,edinburgh of the seven seas,-37.0676,-12.3116,57.63,96,100,26.66,SH,1699284326
43,talnakh,69.4865,88.3972,0.05,97,96,6.15,RU,1699284446
44,gaspe,48.8334,-64.4819,35.82,44,20,16.11,CA,1699284446
45,ola,59.5833,151.2833,7.16,77,1,10.92,RU,1699284446
46,anadyr,64.75,177.4833,5.5,84,0,11.18,RU,1699284446
47,katsuura,35.1333,140.3,72.66,85,100,27.85,JP,1699284446
48,port elizabeth,-33.918,25.5701,64.69,92,100,13.8,ZA,1699284447
49,whitehorse,60.7161,-135.0538,29.17,86,75,12.66,CA,1699284447
50,lazaro cardenas,17.9583,-102.2,80.67,77,59,3.71,MX,1699284447
51,albany,42.6001,-73.9662,45.68,65,59,1.99,US,1699284241
52,nar'yan-mar,67.6713,53.087,35.11,100,100,20.0,RU,1699284448
53,podgornoye,51.735,39.1496,55.65,94,0,6.71,RU,1699284448
54,cape coast,5.1053,-1.2466,83.53,77,42,10.94,GH,1699284448
55,edmundston,47.3737,-68.3251,30.43,63,0,1.14,CA,1699284397
56,xinxiang,35.3089,113.8672,48.52,44,0,3.47,CN,1699284449
57,vilhena,-12.7406,-60.1458,100.04,27,35,1.59,BR,1699284449
